conference,size,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
CVPR,Large,9227,6512,4976,3606,2750,2061,1991,1811,1496,1306,1116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IJCAI,Large,3015,2560,2987,1671,1134,1027,920,1206,1493,1379,1265,1240,1215,1116,1018,1025,1050,1100,1150,1261,1373,1349,1325,1692,2059,2200,2500,2800,3100,3400,3700,4000,4200,4500,4995,NA
AAAI,Large,3227,2251,1838,1289,1380,1019,807,934,1108,918,1015,1113,1064,1263,1116,1534,1466,1399,1378,1358,1250,1417,1262,1371,1667,1964,1379,1685,1950,2800,3385,3970,4733,5334,4317,3300
NeurIPS,Large,13500,8000,7755,5230,3852,2581,1994,1676,1452,1354,1239,1000,1050,913,926,815,721,708,680,650,620,590,560,530,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IROS,Large,3509,NA,2678,2174,2079,1615,1472,1447,1556,1200,1400,1157,1021,1119,1079,1040,908,822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICML,Large,6481,5023,2431,3103,1200,800,500,744,546,514,579,540,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICRA,Large,NA,3050,3000,2000,1500,1300,1200,1300,1200,1200,1000,1200,1000,700,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACL,Small,NA,1300,1765,1649,745,1437,987,973,1101,955,799,759,1075,885.5,696,682,574,676,573,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICLR,Small,2720,2000,1224.5,449,369,176,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAMAS,Small,701,670,415,461,424,798,552,577,450,593,608,639,441,469,681,655,383,614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICAPS,Small,283,262,201,226,160,222,214,133,225,206,228,140,212,170,198,143,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UAI,Small,334,351,202,211,221,186,225,228,192,164,195,229,150,160,170,180,190,200,210,214,210,200,190,180,170,160,151,NA,NA,NA,NA,NA,NA,NA,NA,NA
KR,Small,NA,171,NA,157,164,171,180,190,182,175,157,140,130,120,135,150,148,146,149,152,144,137,137,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
